,rank,artist,name,value,date,country,country_code,lastValue,year
151,2,Ed Sheeran,Castle on the Hill,3833973,2017-01-16,global,global,3581077.0,2017.041095890411
152,3,The Chainsmokers,Paris,3440753,2017-01-16,global,global,3025149.0,2017.041095890411
153,4,The Weeknd,Starboy,3361644,2017-01-16,global,global,3203886.0,2017.041095890411
154,5,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3324763,2017-01-16,global,global,3087541.0,2017.041095890411
155,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3145273,2017-01-16,global,global,2983295.0,2017.041095890411
156,7,The Chainsmokers,Closer (feat. Halsey),2758818,2017-01-16,global,global,2643320.0,2017.041095890411
157,8,James Arthur,Say You Won't Let Go,2655248,2017-01-16,global,global,2522282.0,2017.041095890411
158,9,Maroon 5,Don't Wanna Know,2585126,2017-01-16,global,global,2439527.0,2017.041095890411
159,10,Drake,Fake Love,2557129,2017-01-16,global,global,2488201.0,2017.041095890411
160,1,Ed Sheeran,Shape of You,7086602,2017-01-17,global,global,7071702.0,2017.0438356164384
161,2,The Chainsmokers,Paris,3782866,2017-01-17,global,global,3440753.0,2017.0438356164384
162,3,Ed Sheeran,Castle on the Hill,3782858,2017-01-17,global,global,3833973.0,2017.0438356164384
163,4,The Weeknd,Starboy,3410825,2017-01-17,global,global,3361644.0,2017.0438356164384
164,5,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3410496,2017-01-17,global,global,3324763.0,2017.0438356164384
165,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3182849,2017-01-17,global,global,3145273.0,2017.0438356164384
166,7,The Chainsmokers,Closer (feat. Halsey),2820997,2017-01-17,global,global,2758818.0,2017.0438356164384
167,8,James Arthur,Say You Won't Let Go,2714671,2017-01-17,global,global,2655248.0,2017.0438356164384
168,9,Maroon 5,Don't Wanna Know,2602569,2017-01-17,global,global,2585126.0,2017.0438356164384
169,10,The Weeknd,I Feel It Coming,2593935,2017-01-17,global,global,2593935.0,2017.0438356164384
170,1,Ed Sheeran,Shape of You,7153915,2017-01-18,global,global,7086602.0,2017.0465753424658
171,2,The Chainsmokers,Paris,3856703,2017-01-18,global,global,3782866.0,2017.0465753424658
172,3,Ed Sheeran,Castle on the Hill,3734916,2017-01-18,global,global,3782858.0,2017.0465753424658
173,4,The Weeknd,Starboy,3455609,2017-01-18,global,global,3410825.0,2017.0465753424658
174,5,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3417561,2017-01-18,global,global,3410496.0,2017.0465753424658
175,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3226728,2017-01-18,global,global,3182849.0,2017.0465753424658
176,7,The Chainsmokers,Closer (feat. Halsey),2853742,2017-01-18,global,global,2820997.0,2017.0465753424658
177,8,James Arthur,Say You Won't Let Go,2747685,2017-01-18,global,global,2714671.0,2017.0465753424658
178,9,The Weeknd,I Feel It Coming,2655959,2017-01-18,global,global,2593935.0,2017.0465753424658
179,10,Maroon 5,Don't Wanna Know,2628633,2017-01-18,global,global,2602569.0,2017.0465753424658
180,1,Ed Sheeran,Shape of You,7133303,2017-01-19,global,global,7153915.0,2017.0493150684931
181,2,The Chainsmokers,Paris,3931800,2017-01-19,global,global,3856703.0,2017.0493150684931
182,3,Ed Sheeran,Castle on the Hill,3655899,2017-01-19,global,global,3734916.0,2017.0493150684931
183,4,The Weeknd,Starboy,3447653,2017-01-19,global,global,3455609.0,2017.0493150684931
184,5,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3416023,2017-01-19,global,global,3417561.0,2017.0493150684931
185,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3216267,2017-01-19,global,global,3226728.0,2017.0493150684931
186,7,The Chainsmokers,Closer (feat. Halsey),2852922,2017-01-19,global,global,2853742.0,2017.0493150684931
187,8,James Arthur,Say You Won't Let Go,2738449,2017-01-19,global,global,2747685.0,2017.0493150684931
188,9,The Weeknd,I Feel It Coming,2665185,2017-01-19,global,global,2655959.0,2017.0493150684931
189,10,Maroon 5,Don't Wanna Know,2600405,2017-01-19,global,global,2628633.0,2017.0493150684931
190,1,Ed Sheeran,Shape of You,7299280,2017-01-20,global,global,7133303.0,2017.0520547945205
191,2,The Chainsmokers,Paris,4028067,2017-01-20,global,global,3931800.0,2017.0520547945205
192,3,Ed Sheeran,Castle on the Hill,3623398,2017-01-20,global,global,3655899.0,2017.0520547945205
193,4,The Weeknd,Starboy,3548783,2017-01-20,global,global,3447653.0,2017.0520547945205
194,5,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3435556,2017-01-20,global,global,3416023.0,2017.0520547945205
195,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3356389,2017-01-20,global,global,3216267.0,2017.0520547945205
196,7,The Chainsmokers,Closer (feat. Halsey),2925703,2017-01-20,global,global,2852922.0,2017.0520547945205
197,8,The Weeknd,I Feel It Coming,2717602,2017-01-20,global,global,2665185.0,2017.0520547945205
198,9,James Arthur,Say You Won't Let Go,2708233,2017-01-20,global,global,2738449.0,2017.0520547945205
199,10,Maroon 5,Don't Wanna Know,2637503,2017-01-20,global,global,2600405.0,2017.0520547945205
200,1,Ed Sheeran,Shape of You,7057075,2017-01-21,global,global,7299280.0,2017.054794520548
201,2,The Chainsmokers,Paris,3899861,2017-01-21,global,global,4028067.0,2017.054794520548
202,3,Ed Sheeran,Castle on the Hill,3518245,2017-01-21,global,global,3623398.0,2017.054794520548
203,4,The Weeknd,Starboy,3439943,2017-01-21,global,global,3548783.0,2017.054794520548
204,5,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3404081,2017-01-21,global,global,3356389.0,2017.054794520548
205,6,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3299577,2017-01-21,global,global,3435556.0,2017.054794520548
206,7,The Chainsmokers,Closer (feat. Halsey),2900344,2017-01-21,global,global,2925703.0,2017.054794520548
207,8,The Weeknd,I Feel It Coming,2668560,2017-01-21,global,global,2717602.0,2017.054794520548
208,9,James Arthur,Say You Won't Let Go,2645060,2017-01-21,global,global,2708233.0,2017.054794520548
209,10,Maroon 5,Don't Wanna Know,2628862,2017-01-21,global,global,2637503.0,2017.054794520548
210,1,Ed Sheeran,Shape of You,6423764,2017-01-22,global,global,7057075.0,2017.0575342465754
211,2,The Chainsmokers,Paris,3533867,2017-01-22,global,global,3899861.0,2017.0575342465754
212,3,Ed Sheeran,Castle on the Hill,3179468,2017-01-22,global,global,3518245.0,2017.0575342465754
213,4,The Weeknd,Starboy,2998096,2017-01-22,global,global,3439943.0,2017.0575342465754
214,5,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2976059,2017-01-22,global,global,3299577.0,2017.0575342465754
215,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2910766,2017-01-22,global,global,3404081.0,2017.0575342465754
216,7,The Chainsmokers,Closer (feat. Halsey),2530491,2017-01-22,global,global,2900344.0,2017.0575342465754
217,8,James Arthur,Say You Won't Let Go,2501127,2017-01-22,global,global,2645060.0,2017.0575342465754
218,9,Drake,Fake Love,2330540,2017-01-22,global,global,2330540.0,2017.0575342465754
219,10,The Weeknd,I Feel It Coming,2322637,2017-01-22,global,global,2668560.0,2017.0575342465754
220,1,Ed Sheeran,Shape of You,7058537,2017-01-23,global,global,6423764.0,2017.0602739726028
221,2,The Chainsmokers,Paris,3845754,2017-01-23,global,global,3533867.0,2017.0602739726028
222,3,Ed Sheeran,Castle on the Hill,3487635,2017-01-23,global,global,3179468.0,2017.0602739726028
223,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3220708,2017-01-23,global,global,2976059.0,2017.0602739726028
224,5,The Weeknd,Starboy,3134154,2017-01-23,global,global,2998096.0,2017.0602739726028
225,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3062127,2017-01-23,global,global,2910766.0,2017.0602739726028
226,7,James Arthur,Say You Won't Let Go,2649878,2017-01-23,global,global,2501127.0,2017.0602739726028
227,8,The Chainsmokers,Closer (feat. Halsey),2621619,2017-01-23,global,global,2530491.0,2017.0602739726028
228,9,The Weeknd,I Feel It Coming,2498506,2017-01-23,global,global,2322637.0,2017.0602739726028
229,10,Maroon 5,Don't Wanna Know,2436688,2017-01-23,global,global,2436688.0,2017.0602739726028
230,1,Ed Sheeran,Shape of You,7169081,2017-01-24,global,global,7058537.0,2017.0630136986301
231,2,The Chainsmokers,Paris,4003790,2017-01-24,global,global,3845754.0,2017.0630136986301
232,3,Ed Sheeran,Castle on the Hill,3577062,2017-01-24,global,global,3487635.0,2017.0630136986301
233,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3322706,2017-01-24,global,global,3220708.0,2017.0630136986301
234,5,The Weeknd,Starboy,3199886,2017-01-24,global,global,3134154.0,2017.0630136986301
235,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3145946,2017-01-24,global,global,3062127.0,2017.0630136986301
236,7,James Arthur,Say You Won't Let Go,2729388,2017-01-24,global,global,2649878.0,2017.0630136986301
237,8,The Chainsmokers,Closer (feat. Halsey),2685448,2017-01-24,global,global,2621619.0,2017.0630136986301
238,9,The Weeknd,I Feel It Coming,2580382,2017-01-24,global,global,2498506.0,2017.0630136986301
239,10,Maroon 5,Don't Wanna Know,2495624,2017-01-24,global,global,2436688.0,2017.0630136986301
240,1,Ed Sheeran,Shape of You,7259975,2017-01-25,global,global,7169081.0,2017.0657534246575
241,2,The Chainsmokers,Paris,4073319,2017-01-25,global,global,4003790.0,2017.0657534246575
242,3,Ed Sheeran,Castle on the Hill,3590988,2017-01-25,global,global,3577062.0,2017.0657534246575
243,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3374636,2017-01-25,global,global,3322706.0,2017.0657534246575
244,5,The Weeknd,Starboy,3238092,2017-01-25,global,global,3199886.0,2017.0657534246575
245,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3195206,2017-01-25,global,global,3145946.0,2017.0657534246575
246,7,James Arthur,Say You Won't Let Go,2775738,2017-01-25,global,global,2729388.0,2017.0657534246575
247,8,The Chainsmokers,Closer (feat. Halsey),2738403,2017-01-25,global,global,2685448.0,2017.0657534246575
248,9,The Weeknd,I Feel It Coming,2619488,2017-01-25,global,global,2580382.0,2017.0657534246575
